test_date,time_of_test,grid_rms_sym_current,main_brand,main_rating,branch_brand,branch_rating,closing_time(us),peak_current(kA),time_to_peak_current(ms),i_sq_t(k),closing_angle(deg),power_factor,i_duration(ms),oscillogram,sample,breaker_tripped,breaker_reset,breaker_continuity,enclosure_fuse_open,calibration_date,comments
10/04/2023,08:44:48,10.12,Eaton,10,Eaton,125,4.380,7.132,2.356,131.9,95,49,5.187,HPL3-77397,1,Yes,Yes,Yes,No,01/11/2023,
10/04/2023,08:53:08,10.12,Eaton,10,Eaton,125,2.812,8.588,3.114,242.5,61,49,6.467,HPL3-77398,2,Yes,Yes,Yes,No,01/11/2023,
10/04/2023,08:57:04,10.12,Eaton,10,Eaton,125,149.8,9.858,4.919,364.4,3,49,8.577,HPL3-77399,3,Yes,Yes,Yes,No,01/11/2023,
10/04/2023,09:15:35,10.12,Eaton,10,Square D,125,9.045,9.340,3.971,277.9,195,49,7.675,HPL3-77400,4,Yes,Yes,Yes,No,01/11/2023,
10/04/2023,09:18:04,10.12,Eaton,10,Square D,125,2.650,8.282,3.177,183.4,57,49,6.207,HPL3-77401,5,Yes,Yes,Yes,No,01/11/2023,
10/04/2023,09:21:41,10.12,Eaton,10,Square D,125,231.5,9.015,4.375,263.9,5,49,8.042,HPL3-77402,6,Yes,Yes,Yes,No,01/11/2023,
10/04/2023,09:56:25,10.12,Eaton,10,Siemens,125,10.33,9.036,3.059,245.5,223,49,6.845,HPL3-77406,7,Yes,Yes,Yes,No,01/11/2023,
10/04/2023,09:58:35,10.12,Eaton,10,Siemens,125,1.480,10.33,3.721,334.5,32,49,7.359,HPL3-77407,8,Yes,Yes,Yes,No,01/11/2023,
10/04/2023,10:02:11,10.12,Eaton,10,Siemens,125,187.0,8.479,4.276,240.0,4,49,8.346,HPL3-77408,9,Yes,Yes,Yes,No,01/11/2023,
10/04/2023,10:14:12,10.12,*,*,Siemens,125,13.59,5.182,2.009,59.12,293,49,4.192,HPL3-77409,16,Yes,Yes,Yes,No,01/11/2023,
10/04/2023,10:16:48,10.12,*,*,Siemens,125,183.6,9.934,4.549,340.0,4,49,8.638,HPL3-77410,18,Yes,Yes,Yes,No,01/11/2023,
10/04/2023,10:29:04,10.12,*,*,Eaton,125,6.618,11.59,7.349,539.4,143,49,11.46,HPL3-77411,10,Yes,Yes,Yes,No,01/11/2023,
10/04/2023,10:31:22,10.12,*,*,Eaton,125,206.1,11.62,5.363,534.2,4,49,9.467,HPL3-77412,12,Yes,Yes,Yes,No,01/11/2023,
10/04/2023,10:47:53,10.12,*,*,Square D,125,7.635,10.08,5.438,341.7,165,49,9.650,HPL3-77413,13,Yes,Yes,Yes,No,01/11/2023,
10/04/2023,10:53:17,10.12,*,*,Square D,125,250.9,10.39,4.596,372.2,5,49,8.667,HPL3-77414,15,Yes,Yes,Yes,No,01/11/2023,
10/04/2023,12:01:24,22.37,Square D,22,Eaton,125,7.380,13.43,5.304,657.3,159,19,9.068,HPL3-77415,19,Yes,Yes,Yes,No,02/10/2023,
10/04/2023,12:06:10,22.37,Square D,22,Eaton,125,669.2,11.86,3.862,513.9,14,19,7.588,HPL3-77416,20,Yes,Yes,Yes,No,02/10/2023,
