test_date,time_of_test,rms_sym_current,main_brand,main_aisc_ka,branch_brand,branch_rating,closing_time,peak_current,time_to_peak_current,i_2_t,closing_angle,power_factor,i_duration,oscillogram,sample,breaker_tripped,breaker_reset,breaker_continuity,enclosure_fuse_open,calibration_date,comments
10/05/2023,09:06:51,25,Eaton,10,Square D,125,207,11,3,2,4,15,7,HPL3-77434,1,Yes,Yes,Yes,No,10/20/202,
10/05/2023,09:29:50,25,Eaton,10,Siemens,125,251,10,3,2,5,15,7,HPL3-77436,3,Yes,Yes,Yes,No,10/20/202,
10/05/2023,09:47:54,25,Eaton,10,Eaton,125,268,12,4,2,6,15,7,HPL3-77438,3,Yes,Yes,Yes,No,10/20/202,
10/05/2023,09:57:30,25,Eaton BWH,25,Eaton,125,229,11,3,2,5,15,6,HPL3-77439,4,Yes,Yes,Yes,No,10/20/202,
10/05/2023,10:03:38,25,Eaton BWH,25,Siemens,125,200,10,3,2,4,15,7,HPL3-77441,5,Yes,Yes,Yes,No,10/20/202,
10/05/2023,10:12:56,25,Sq D,22,Eaton,125,202,10,3,2,4,15,7,HPL3-77442,6,Yes,Yes,Yes,No,10/20/202,
10/05/2023,10:19:44,25,Sq D,22,Siemens,125,205,10,3,2,4,15,7,HPL3-77443,7,Yes,Yes,Yes,No,10/20/202,
10/05/2023,10:40:53,22,Eaton BWH,25,Siemens,125,314,9,3,2,7,19,7,HPL3-77444,9,Yes,Yes,Yes,No,02/10/2023,
10/05/2023,10:48:30,22,Eaton BWH,25,Eaton,125,216,10,4,2,5,19,7,HPL3-77445,8,Yes,Yes,Yes,No,02/10/2023,
10/05/2023,11:06:27,22,Eaton,10,Eaton,125,187,12,4,2,4,19,8,HPL3-77448,10,Yes,Yes,Yes,No,02/10/2023,
10/05/2023,11:10:49,22,Eaton,10,Siemens,125,147,9,3,2,3,19,7,HPL3-77449,11,Yes,Yes,Yes,No,02/10/2023,
10/05/2023,11:15:13,22,Eaton,10,Square D,125,141,10,3,2,3,19,7,HPL3-77450,12,Yes,Yes,Yes,No,02/10/2023,
10/05/2023,11:19:16,22,Eaton CSR,25,Square D,125,133,10,3,2,3,19,7,HPL3-77451,13,Yes,Yes,Yes,No,02/10/2023,
10/05/2023,11:28:05,10,Eaton CSR,25,Square D,125,238,8,4,2,5,49,8,HPL3-77452   OCV = 240 V,19,Yes,Yes,Yes,No,01/11/2023,
10/05/2023,11:31:15,10,Eaton CSR,25,Siemens,125,157,7,4,2,3,49,8,HPL3-77453   OCV = 240 V,17,Yes,Yes,Yes,No,01/11/2023,
10/05/2023,11:33:49,10,Eaton CSR,25,Eaton,125,16,8,4,2,360,49,8,HPL3-77454   OCV = 240 V,16,Yes,Yes,Yes,No,01/11/2023,
10/05/2023,11:41:27,10,Square D,22,Eaton,125,221,8,4,2,5,49,8,HPL3-77455   OCV = 240 V,14,Yes,Yes,Yes,No,01/11/2023,
10/05/2023,11:45:17,10,Square D,22,Siemens,125,233,8,4,2,5,49,7,HPL3-77456   OCV = 240 V,15,Yes,Yes,Yes,No,01/11/2023,
