test_date,time_of_test,oscillogram,grid_rms_sym_current,power_factor,main_brand,main_rating,branch_brand,branch_rating,closing_time(ms),peak_current(kA),time_to_peak_current(ms),i_sq_t(kAsqSec),closing_angle(deg),i_duration(ms),breaker_tripped,breaker_reset,breaker_continuity,enclosure_fuse_open,commentsfile
10/04/2023,08:57:04,HPL3-77399,10.12,49,Eaton,10,Eaton,125,0.1498,9.858,4.919,364.4,3,8.577,Yes,Yes,Yes,No,
10/04/2023,09:18:04,HPL3-77401,10.12,49,Eaton,10,Square D,125,2.65,8.282,3.177,183.4,57,6.207,Yes,Yes,Yes,No,
10/04/2023,09:21:41,HPL3-77402,10.12,49,Eaton,10,Square D,125,0.2315,9.015,4.375,263.9,5,8.042,Yes,Yes,Yes,No,
10/04/2023,09:56:25,HPL3-77406,10.12,49,Eaton,10,Siemens,125,10.33,9.036,3.059,245.5,223,6.845,Yes,Yes,Yes,No,
10/04/2023,10:16:48,HPL3-77410,10.12,49,Siemens,125,Siemens,125,0.1836,9.934,4.549,340.0,4,8.638,Yes,Yes,Yes,No,
10/04/2023,10:31:22,HPL3-77412,10.12,49,Eaton,125,Eaton,125,0.2061,11.62,5.363,534.2,4,9.467,Yes,Yes,Yes,No,
10/04/2023,12:01:24,HPL3-77415,22.37,19,Square D,22,EATON,125,7.38,13.43,5.304,657.3,159,9.068,Yes,Yes,Yes,No,
10/04/2023,12:06:10,HPL3-77416,22.37,19,Square D,22,EATON,125,0.6692,11.86,3.862,513.9,14,7.588,Yes,Yes,Yes,No,
10/04/2023,12:31:10,HPL3-77419,22.37,19,Square D,22,SIEMENS,125,10.66,11.56,2.155,319.1,230,5.49,Yes,Yes,Yes,No,
10/04/2023,12:34:18,HPL3-77420,22.37,19,Square D,22,SIEMENS,125,0.1567,10.46,3.502,315.4,3,7.428,Yes,Yes,Yes,No,
10/04/2023,12:57:59,HPL3-77422,25.5,15,Eaton CSR,25,EATON,125,6.067,6.390,1.6,67.45,131,3.316,Yes,Yes,Yes,No,
10/04/2023,13:35:18,HPL3-77424,25.5,15,Eaton CSR,25,SIEMENS,125,9.746,11.12,2.387,324.3,211,6.255,Yes,Yes,Yes,No,
10/04/2023,14:04:39,HPL3-77427,25.5,15,Eaton BWH,25,EATON,125,9.17,13.17,3.917,614.0,198,6.777,Yes,Yes,Yes,No,
10/04/2023,14:24:36,HPL3-77430,25.5,15,Eaton BWH,25,SIEMENS,125,11.06,11.93,1.971,326.8,239,5.274,Yes,Yes,Yes,No,
10/05/2023,09:29:50,HPL3-77436,25.5,15,Eaton,10,Siemens,125,0.2513,10.57,3.151,320.9,5,7.247,Yes,Yes,Yes,No,
10/05/2023,09:57:30,HPL3-77439,25.5,15,Eaton BWH,25,Eaton,125,0.2294,11.34,3.859,407.7,5,6.854,Yes,Yes,Yes,No,
10/05/2023,10:40:53,HPL3-77444,22.37,19,Eaton BWH,25,Siemens,125,0.3141,9.844,3.42,310.1,7,7.495,Yes,Yes,Yes,No,
10/05/2023,11:31:15,HPL3-77453,10.12,49,Eaton CSR,25,Siemens,125,0.1574,7.443,4.249,183.2,3,8.083,Yes,Yes,Yes,No,
10/05/2023,11:45:17,HPL3-77456,10.12,49,Square D,22,Siemens,125,0.2336,8.213,4.309,209.1,5,7.821,Yes,Yes,Yes,No,
